"oeffnungsz","gebuehren","standort","kreis","typ","poi_id","kommentar"
"24h","Behinderten-WC Fr. 1/Eurokey, Multifunktions-WC gratis","Spielplatz Ziegelhütte","11","","wcr7280","1 Behinderten- und ein Multifunktions-WC."
"06:00-22:00 Uhr, Eurokey 24h","06:00-22:00 Gratis. Nachts 1.- oder Eurokey","Rütihof, Endhaltestelle Heizenholz","10","","wcr7399","Behindertengerechte Toilette"
"24h","Gebührenfrei, Behinderten-WC Fr. 1 oder Eurokey","Blatterwiese Fischerstube","8","","wcr9922","2 Multifunktions- 1 Behinderten-WC"
"24h","Behinderten- und Familienmodul 1 Franken","Nordstrasse 45","6","","wcr12923","1 Multifunktionsmodul und ein Behinderten- und Familienmodul"
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos. ","Uetlibergstrasse 70, Uetlibergbahn-Haltestelle Binz","3","","wcr4102","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC. Bei Eurokey-Betätigung erleichtert ein Elektroantrieb den Zugang."
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro oder Eurokey. Multifunktions-WC: kostenlos. ","Püntstrasse 11, Endstation Tram 3 Albisrieden","9","nicht rollstuhlgängig","wcr5199","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC. Mit dem umgebauten ZüriWC verfügt das Zentrum von Albisrieden über eine zeitgemässe, rollstuhlgängige WC-Anlage."
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos. ","Gemeinschaftszentrum Bachwiesen, Bachwiesenstrasse 40","9","","wcr2895","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC."
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos. ","Albisstrasse 105 / Endstation Wollishofen der VBZ Linie 7","2","","wcr023","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC."
"24 h","Behinderten-WC Fr. 1.-- oder Eurokey, Damen- und Herren-WC gratis.","Bucheggplatz 1 / Im Kioskgebäude, hinten.","6","","wcr052","Damen- und Herren WC, eine rollstuhlgängige Kabine, Pissoir."
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen..","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos.","Klosbachstr. 19, im Park","7","","wcr056","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC. Bitte beachten Sie: Die Kiesfläche erschwert die Zufahrt mit dem Rollstuhl."
"Rollstuhlgängiges-WC Modul: von 06:00 - 22:00, mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder kostenlos mit Eurokey. Multifunktions-WC: kostenlos.","Dübendorfstr. 475 / Endstation Tram 7 und 12","12","","wcr094","1 Rollstuhlgängiges-WC Modul und 2 Multifunktions-WC."
"24 h, Behinderten WC mit Eurokey 24h, mit Gebühr 06.00-22.00 Uhr","Gebührenfrei. Behinderten-WC mit Eurokey oder Fr. 1.--.","Escher-Wyss-Platz bei der Tramhaltestelle stadteinwärts","5","","wcr2888","Multifunktions- und Behinderten WC."
"Geöffnet 24h. Behinderten-WC ohne Eurokey von 06.00-22.00 Uhr.","Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)","Im Neumünsterpark unterhalb der Kirche","8","","wcr4103","Multifunktions- und Behinderten WC, Wickeltisch. Das Behinderten-WC kann nur ohne Rampe betreten werden."
"24 h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Seilergraben 76 / Beim Aufgang zum Hirschengraben","1","","wcr001","Multifunktions- und Behinderten-WC, Wickeltisch."
"24 h","Fr. 1.-- oder Eurokey","Albisstrasse bei 49 / vor der Kirche","2","","wcr008","Selbstreinigender WC Automat für Damen und Herren. Rollstuhlgängig mit automatischer Türe, Wickeltisch."
"24 h, Behinderten-WC 06-22 Uhr, mit EuroKey 24h","Gebührenfrei. Behinderten-WC Fr. 1.--. oder Eurokey.","Seefeldstrasse beim GZ Riesbach","8","","wcr069","Multifunktions- und Behinderten WC, Wickeltisch."
"24 h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Leutschenbachstrasse 71 / Im Leutschenpark","11","","wcr088","Multifunktions- und Behinderten WC. Behinderten WC nur mit Eurokey zugänglich."
"24h, März bis Oktober","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gebührenfrei","Bellerivestrasse 150","8","","wcr071","3 Multifunktions- und ein Behinderten WC, Wickeltisch. Im Winter werden zwei MF-Kabinen geschlossen. "
"06-20 Uhr. Mit Eurokey 24h","Fr. 1.-, mit Eurokey gratis","Escherhöhe","7","","wcr8682","Behinderten-WC"
"24 h","Gebührenfrei","Frankentalerstrasse 10 / Endstation VBZ Linie 13","10","","wcr079","Damen- und Herren WC, eine rollstuhlgängige Kabine, Pissoir."
"24 h","Gebührenfrei. Behinderten WC Fr. 1.-- oder Eurokey.","Limmatquai 61","1","","wcr012","2 Multifunktions-WCs und 1 behindertengerechte Kabine. Hohe Frequenzen an zentraler Lage."
